firm_ID,year,months,R,Re,ME,industry_ID,sales,OX,NFE,X,OA,FA,OL,FO,NOA,NFO,BE,lagged_BE,ROE,lagged_NOA,lagged_NFO,RNOA,PM,ATO,lagged_FLEV,NBC,ROE_DuPont,DuPont_gap,lagged_ME,lagged_BEME
1,2015,11,0.6121301693416943,0.6107327272421479,3577294000,1,5261.4,437.49,NA,286.64,13005.55,3543.43,4372.96,2480.72,8632.59,-1062.71,9695.3,NA,NA,NA,NA,NA,0.08315087239137872,NA,NA,NA,NA,NA,NA,NA
1,2016,12,0.9972726459805057,0.995470516938193,6883324000,1,5948.96,564.14,50.66749760937501,513.48,13865.58,4642.16,4534.22,3959.7,9331.36,-682.46,10013.82,9695.3,0.05296174435035533,8632.59,-1062.71,0.06535002820706184,0.09483002070950217,0.6891280600607697,-0.10961084236692006,-0.04767763322954993,0.05296097102623178,7.733241235499677e-7,3577294000,2.710232930253985e-6
1,2017,12,0.6878638158193953,0.6863668412065524,11376990000,1,6505.06,691.18,29.54315702499928,661.64,13952.58,7743.99,5111.22,6159.02,8841.36,-1584.9699999999991,10426.33,10013.82,0.06607268754581169,9331.36,-682.46,0.07407066065396684,0.10625267099765412,0.6971181049707652,-0.06815181419278557,-0.04328921405650042,0.06607237227901047,3.1526680122073714e-7,6883324000,1.4547942244183187e-6
1,2018,12,-0.2136128668567404,-0.21438527363684834,8694752000,1,6846.38,751.29,86.48650016801827,664.8,18818.48,7284.72,5137.28,10123.91,13681.2,2839.1899999999996,10842.010000000002,10426.33,0.06376164959290564,8841.36,-1584.9699999999991,0.08497448356361464,0.10973536379809476,0.774358243528145,-0.1520160977064796,-0.05456664805517979,0.06376198526537927,-3.356724736225392e-7,11376990000,9.164401128945354e-7
1,2019,12,0.6468357601052919,0.6453315703381508,13957518000,1,7572.24,958.53,298.0497738191198,660.48,18190,9735.13,5487.96,11362.22,12702.04,1627.09,11074.95,10842.010000000002,0.06091859350803032,13681.2,2839.1899999999996,0.07006183668099289,0.12658473582453805,0.5534777651083238,0.2618693397257519,0.1049770440932519,0.06091861436955694,-2.0861526617288465e-8,8694752000,1.246960235323561e-6
1,2020,12,-0.28430311798704644,-0.28500521289927505,9708946000,1,7537.63,778.37,-65.45877194758576,843.83,20462.86,10274.25,5371.38,13772.15,15091.48,3497.8999999999996,11593.58,11074.95,0.07619266904139523,12702.04,1627.09,0.06127913311562551,0.10326455397784184,0.5934188524048105,0.14691623889949842,-0.04023057848526249,0.07619255815580077,1.1088559445648905e-07,13957518000,7.934756021808462e-7
2,2015,11,1.1091961325905269,1.1074143753199834,4086732000,1,3505.75,45.82,5.751119126670516,40.07,2977.82,2258.33,1840.35,2340.89,1137.4700000000005,82.55999999999995,1054.9100000000003,NA,NA,NA,NA,NA,0.01306995650003565,NA,NA,NA,NA,NA,NA,NA
2,2016,12,0.3752285625030458,0.3739473409856353,5592864000,1,3491.27,51.25,1.876541032191374,49.37,3184.8,1881.83,1769.17,2215.87,1415.63,334.03999999999996,1081.59,1054.9100000000003,0.04680020096501122,1137.4700000000005,82.55999999999995,0.04505613334857182,0.01467947194001037,3.069329300992553,0.07826260060099906,0.02272942141704669,0.04680347988720233,-3.278922191117528e-6,4086732000,2.581304572944838e-7
2,2017,12,0.6407323153146092,0.6392807412629551,9152528000,1,3945.66,83.43,7.527881494414544,75.9,3392.2,2425.21,1955.26,2727.35,1436.9399999999998,302.1399999999999,1134.8,1081.59,0.07017446537042686,1415.63,334.03999999999996,0.0589348911791923,0.02114475144842688,2.787211347597889,0.3088416128107693,0.02253586844214628,0.07017642406603745,-1.958695610593253e-6,5592864000,1.9338750236015034e-7
2,2018,12,-0.21968937065199812,-0.22045653602549597,7103688000,1,4139.33,93.4,6.816627151105772,86.58,3569.31,2331.02,2022.12,2694.5,1547.19,363.48,1183.71,1134.8,0.07629538244624604,1436.9399999999998,302.1399999999999,0.06499923448439045,0.02256403814143835,2.8806561164697206,0.2662495593937257,0.022561154269894,0.07629835464301571,-2.9721967696738627e-6,9152528000,1.2398760211386404e-7
2,2019,12,0.40818644590922526,0.40688486971253357,9962680000,1,4416.98,99.23,8.088746500036693,91.14,3740.78,2898.54,2171.83,3230.33,1568.9500000000005,331.78999999999996,1237.1600000000003,1183.71,0.07699520997541627,1547.19,363.48,0.0641356265229222,0.02246557602705921,2.8548400648918357,0.30706845426667007,0.02225362193253189,0.07699626893408294,-1.0589586666720496e-6,7103688000,1.666331629429671e-7
2,2020,12,-0.47546774388319935,-0.4759935848666209,5194044000,1,4606.51,97.44,7.344431316269265,90.1,3823.98,3265.64,2184.43,3625.63,1639.5500000000002,359.99000000000024,1279.56,1237.1600000000003,0.07282809014193796,1568.9500000000005,331.78999999999996,0.06210522961216098,0.02115267306485821,2.9360464004589053,0.26818681496330293,0.02213578262234927,0.07282450829620317,3.581845734790257e-6,9962680000,1.241794376613522e-7
3,2015,11,0.2701080432172869,0.26898314749734964,70434234000,1,440789.92,-8246.19,188.31525962032907,-8434.51,69759.59,63529.92,31278.65,8390.5,38480.939999999995,-55139.42,93620.36,NA,NA,NA,NA,NA,-0.01870775538605783,NA,NA,NA,NA,NA,NA,NA
