event_ID,firm_ID,event_date,event_trade_date,event_year,event_strength,earnings_surprise,alpha,beta,sigma_AR,r_squared,adjusted_r_squared,estimation_observations,CAR_0_p1,CAR_m10_p10,CAR_m1_p1,CAR_m30_p30,CAR_m5_p5
1,39,2017-01-04,2017-01-05,2017,1,-0.008132745329026133,-3.592264193654195e-4,0.750404464592021,0.00792363884900818,0.5100856477600927,0.5050865217168283,100,-0.006553724008420256,0.03333380210400914,2.9697339107579747e-4,0.09103187036736152,0.033162877769158695
2,57,2017-01-04,2017-01-05,2017,1,-0.010049018842105581,-2.318023627145845e-4,1.387893659648643,0.007981927103730923,0.7782590745119125,0.775996412006932,100,-0.0015993283467942623,0.04798840038187548,0.014747324195743665,0.01783253904025263,0.03427568557918356
3,73,2017-01-04,2017-01-05,2017,4,-0.0020231698861135784,-7.968392614129894e-4,1.2040169359776705,0.008094022219321463,0.7197880015597533,0.7169286954532201,100,-0.008164761039737364,-0.02281771468607481,-0.009374272084581395,0.03743671409469118,-0.002033190617608877
4,109,2017-01-04,2017-01-05,2017,3,-0.004396137660419881,-6.278077851666871e-5,1.0278831066709933,0.007914464367719292,0.661940530922903,0.658490944503749,100,3.333866880529026e-4,0.02225857885366212,0.004130840536465568,0.04993725352734526,0.016225809094906174
5,111,2017-01-04,2017-01-05,2017,3,-0.004487340546578557,-2.714620415361506e-4,1.0319312084482473,0.008159339914821751,0.6499620719980711,0.6463902564062147,100,-0.0011367119137593766,-0.015410274510019889,-0.0029702884694711796,-0.0748047865640353,0.02760202761728263
6,231,2017-01-04,2017-01-05,2017,1,-0.014398898907730578,6.985778206623688e-4,1.2164465066358798,0.007830127070376024,0.7369634632272217,0.734279416933622,100,0.034678459290762936,0.05021965856042361,0.02424876548012215,0.010479693349505943,0.05221277281073948
7,944,2017-01-04,2017-01-05,2017,2,-0.006897854091197068,-9.385896377443175e-4,1.2905956907762786,0.007881636149395325,0.7568472813472839,0.7543661311569501,100,0.004307304990029756,-0.013332950447597192,-0.002939131257349103,0.12572257249954413,-0.025293453150982692
8,1227,2017-01-04,2017-01-05,2017,5,-0.001124789835719631,4.666034514440668e-4,1.154291713095234,0.00782967183278959,0.716154871007985,0.7132584921407197,100,-0.015256373190286276,-0.018411317571977066,-0.01704117382918776,-0.016499477594919168,-0.03274344565468391
9,422,2017-01-05,2017-01-06,2017,3,-0.004840824876558966,-1.9958785446778238e-4,0.48469321576302893,0.00933147910612628,0.23305718242846266,0.2252312353103858,100,-0.011573725726720363,0.002377127864915006,-0.013976265802836646,-0.021427627616407357,-0.01722073095107945
10,1203,2017-01-05,2017-01-06,2017,5,-8.656767925504943e-4,-8.339615441174591e-4,0.8961621975502675,0.008851822092665385,0.5358440486293093,0.5311077634112411,100,0.003771638648013013,0.017064268643464917,9.738480520899038e-4,0.038199066605692535,-0.01288024662549201
11,346,2017-01-06,2017-01-10,2017,2,-0.0058581732512627575,6.913200078052791e-4,0.6048843400368681,0.00849432685039936,0.36167898715145846,0.35516550742851427,100,0.023263035033053596,0.020360878579845622,0.036554541224348064,0.059943743524153,0.03418279664490601
