month_ID,year,month,month_date,R_F,R_M,R_Me,SMB,HML,SL,SN,SH,BL,BN,BH,market_return_coverage
13,2016,1,2016-01-01,8.202927112379008e-5,0.04583543781710739,0.0457534085459836,-0.0017441030105902477,0.001976278642135218,0.03442396708531514,0.040738098417989234,0.049300261956898385,0.048791807647783327,0.043034758783719665,0.03786807006047051,1
14,2016,2,2016-02-01,7.595918721511793e-5,0.02842344124659867,0.02834748205938355,-0.006777171324149584,0.015762988300721835,0.01615775310215326,0.039042785025636344,0.02650268717414939,0.018793155360761607,0.043267386023417,0.03997419789020914,1
15,2016,3,2016-03-01,7.595918721511793e-5,-0.057976470852316386,-0.058052430039531505,0.04647681985775541,0.01984958192649791,-0.011442699233133551,-0.007534281340948125,-8.213692464543492e-4,-0.06506729318719207,-0.05817205688573477,-0.035989459320875446,1
16,2016,4,2016-04-01,8.202927112379008e-5,-0.0010718320294619132,-0.0011538613005857032,-0.036215446990063425,0.03409828337550834,-0.05089433457955658,-0.02967179158909973,-0.008432886948327046,-0.009606556949437744,0.013125322632295265,0.016128562170349397,1
17,2016,5,2016-05-01,8.202927112379008e-5,-0.006416001147673336,-0.0064980304187971264,-0.02217839636542856,0.01699172820148695,-0.0504191804034441,-0.020829203228513924,-0.0138820887854994,-0.006458717096582294,-0.003124213913036366,-0.00901235231155309,1
18,2016,6,2016-06-01,8.202927112379008e-5,-0.037074650815021905,-0.03715668008614569,0.01708524069990334,0.002419425161019107,-0.010094338203867459,-0.02110001025048513,-0.019578606560226506,-0.045272292927525916,-0.025807209937634554,-0.03094917424912865,1
19,2016,7,2016-07-01,8.202927112379008e-5,0.029853319521503812,0.02977129025038002,-0.014823777857196702,-0.024978403000732907,0.016136256655328855,0.003088512664067262,0.002407208947486338,0.037353917281894536,0.027623235568306783,0.0011261589882712397,1
20,2016,8,2016-08-01,8.202927112379008e-5,0.053756784161755423,0.053674754890631636,-0.0021008214339878623,-0.016503013163639474,0.06182280915885359,0.043623640119783036,0.04079361344597674,0.06006836275759303,0.044382632125793006,0.04809153214319093,1
21,2016,9,2016-09-01,8.202927112379008e-5,0.02365025339882862,0.023568224127704828,0.04229721826964283,-0.008885786368580624,0.0768899153041691,0.05652133160438305,0.05923977266005936,0.023653940523786502,0.01857291380516151,0.023532510430734985,1
22,2016,10,2016-10-01,7.595918721511793e-5,-0.012052999036813445,-0.012128958224028562,0.022733068892395625,-0.007934834160460553,0.01476992979913522,0.011307585004604551,0.0017271622924903754,-0.013613885042757302,-0.010339858681165869,-0.01644078585703356,1
23,2016,11,2016-11-01,7.595918721511793e-5,0.04299792553954409,0.04292196635232897,-0.0035881302816123395,0.024755239176829,0.03933351674882716,0.05305475843058013,0.05349944320737828,0.02420709330828669,0.07289337071994233,0.05955164520339358,1
24,2016,12,2016-12-01,7.595918721511793e-5,-0.003911632090138857,-0.003987591277353975,-0.01592586773117846,0.006953271945000682,-0.030231128902374615,-0.008388019967498023,-0.01681511267407368,-0.012762433340858418,0.01737768066960547,-0.012271905679157985,1
